,,,
,ARTICULO,STOCK,PRECIO
,PLANNER MENSUAL IMAN - FLORAL,0," $24.875,00"
,CUADERNO A4 TAPA DURA ANILLADO,1," $40.000,00"
,NOTE PAD CON IMAN,1," $9.875,00"
,LIBRETA PARQUES NACIONALES,12," $10.000,00"
,CUADERNO 20X25 TAPA BLANDA RAYADO,5," $322.500,00"
,CUADERNO A5 TAPA DURA ANILLADO HOJAS LISAS,10," $40.000,00"
,PLANNER SEMANAL,0," $19.375,00"
,CUADERNO DE NOTAS VERTICAL ANILLADO,0," $30.000,00"
,CUADERNO A5 TAPA BLANDA HOJAS LISAS,6," $21.250,00"
,KIT DE PAPELERIA,2," $23.750,00"
,LIBRETA POCKET,14," $15.000,00"
,PINS,1," $10.250,00"
,NAIPES,0," $26.250,00"
,ROMPECABEZAS ANIMALES,6," $52.500,00"
,ROMPECABEZAS PAISAJE,3," $56.250,00"
,MEMOTEST,0," $52.500,00"
,AGENDA SEMANAL 2026 - TROPICALIA,0," $56.250,00"
,AGENDA SEMANAL 2026 - MONTAÃ‘AS DE ARGENTINA,0," $56.250,00"
,AGENDA DIARIA 2026 - TROPICALIA,0," $65.000,00"
,LIBRETA TAPA BLANDA PATAGONIA ARGENTINA,3," $15.000,00"
,PACK 2 LIBRETAS GRANDES 20X25,1," $32.000,00"
,BLOCK NOTAS DE ESCRITORIO,2," $15.000,00"
,DOMINO,0," $38.000,00"